"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","280","can filter for completed tasks","example to-do app","Sun May 11 19:45:13 ICT 2025","passed","Sun May 11 19:45:13 ICT 2025","","with a checked task","",""
"","858","cy.request() - make an XHR request","","Sun May 11 19:46:16 ICT 2025","passed","Sun May 11 19:46:17 ICT 2025","","Network Requests","",""
"","262",".should() - make an assertion about the current subject","Assertions","Sun May 11 19:45:39 ICT 2025","passed","Sun May 11 19:45:39 ICT 2025","","Implicit Assertions","",""
"","406","cy.reload() - reload the page","","Sun May 11 19:46:13 ICT 2025","passed","Sun May 11 19:46:13 ICT 2025","","Navigation","",""
"","345","cy.getCookie() - get a browser cookie","","Sun May 11 19:45:50 ICT 2025","passed","Sun May 11 19:45:50 ICT 2025","","Cookies","",""
"","91","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","Sun May 11 19:46:09 ICT 2025","passed","Sun May 11 19:46:09 ICT 2025","","Cypress.Screenshot","",""
"","97","cy.title() - get the title","","Sun May 11 19:47:08 ICT 2025","passed","Sun May 11 19:47:08 ICT 2025","","Window","",""
"","109",".nextAll() - get all next sibling DOM elements","","Sun May 11 19:46:42 ICT 2025","passed","Sun May 11 19:46:43 ICT 2025","","Traversal","",""
"","105",".within() - query DOM elements within a specific element","","Sun May 11 19:46:25 ICT 2025","passed","Sun May 11 19:46:26 ICT 2025","","Querying","",""
"","109","cy.url() - get the current URL","","Sun May 11 19:46:04 ICT 2025","passed","Sun May 11 19:46:04 ICT 2025","","Location","",""
"","1104","Cypress.Promise - instantiate a bluebird promise","","Sun May 11 19:46:49 ICT 2025","passed","Sun May 11 19:46:50 ICT 2025","","Utilities","",""
"","427","cy.window() - get the global window object","","Sun May 11 19:47:07 ICT 2025","passed","Sun May 11 19:47:07 ICT 2025","","Window","",""
"","428","can add new todo items","","Sun May 11 19:45:12 ICT 2025","passed","Sun May 11 19:45:12 ICT 2025","","example to-do app","",""
"","108","Get environment variables","Cypress APIs","Sun May 11 19:45:56 ICT 2025","passed","Sun May 11 19:45:56 ICT 2025","","Cypress.env()","",""
"","704","cy.screenshot() - take a screenshot","Misc","Sun May 11 19:46:08 ICT 2025","passed","Sun May 11 19:46:08 ICT 2025","","Cypress.Screenshot","",""
"","647","Cypress._ - call a lodash method","","Sun May 11 19:46:47 ICT 2025","passed","Sun May 11 19:46:48 ICT 2025","","Utilities","",""
"","205","cy.hash() - get the current URL hash","","Sun May 11 19:46:03 ICT 2025","passed","Sun May 11 19:46:04 ICT 2025","","Location","",""
"","110",".next() - get next sibling DOM element","","Sun May 11 19:46:42 ICT 2025","passed","Sun May 11 19:46:42 ICT 2025","","Traversal","",""
"","107",".last() - get last DOM element","","Sun May 11 19:46:42 ICT 2025","passed","Sun May 11 19:46:42 ICT 2025","","Traversal","",""
"","175",".trigger() - trigger an event on a DOM element","","Sun May 11 19:45:28 ICT 2025","passed","Sun May 11 19:45:29 ICT 2025","","Actions","",""
"","105","Control what is printed to the Command Log","Cypress APIs","Sun May 11 19:45:56 ICT 2025","passed","Sun May 11 19:45:56 ICT 2025","","Cypress.log","",""
"","463","cy.wait() - wait for a specific route","","Sun May 11 19:47:03 ICT 2025","passed","Sun May 11 19:47:04 ICT 2025","","Waiting","",""
"","182","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","","Sun May 11 19:46:38 ICT 2025","passed","Sun May 11 19:46:38 ICT 2025","","Local Storage / Session Storage","",""
"","117","yields the returned value to the next command","Connectors","Sun May 11 19:45:46 ICT 2025","passed","Sun May 11 19:45:46 ICT 2025","",".then()","",""
"","19","cy.stub() matches depending on arguments","","Sun May 11 19:46:33 ICT 2025","passed","Sun May 11 19:46:33 ICT 2025","","Spies, Stubs, and Clock","",""
"","107","cy.root() - query the root DOM element","","Sun May 11 19:46:26 ICT 2025","passed","Sun May 11 19:46:26 ICT 2025","","Querying","",""
"","103","Get current version of Cypress being run","Cypress APIs","Sun May 11 19:45:56 ICT 2025","passed","Sun May 11 19:45:56 ICT 2025","","Cypress.version","",""
"","291","cy.focused() - get the DOM element that has focus","","Sun May 11 19:46:07 ICT 2025","passed","Sun May 11 19:46:07 ICT 2025","","Misc","",""
"","105",".first() - get first DOM element","","Sun May 11 19:46:42 ICT 2025","passed","Sun May 11 19:46:42 ICT 2025","","Traversal","",""
"","104",".parent() - get parent DOM element from DOM elements","","Sun May 11 19:46:43 ICT 2025","passed","Sun May 11 19:46:43 ICT 2025","","Traversal","",""
"","725","cy.request() - pass result to the second request","","Sun May 11 19:46:19 ICT 2025","passed","Sun May 11 19:46:19 ICT 2025","","Network Requests","",""
"","211",".add() - create a custom command","Cypress APIs","Sun May 11 19:45:54 ICT 2025","passed","Sun May 11 19:45:55 ICT 2025","","Cypress.Commands","",""
"","114","Get and set configuration options","Cypress APIs","Sun May 11 19:45:55 ICT 2025","passed","Sun May 11 19:45:55 ICT 2025","","Cypress.config()","",""
"","414",".submit() - submit a form","","Sun May 11 19:45:22 ICT 2025","passed","Sun May 11 19:45:23 ICT 2025","","Actions","",""
"","113","cy.readFile() - read file contents","","Sun May 11 19:46:00 ICT 2025","passed","Sun May 11 19:46:00 ICT 2025","","Files","",""
"","892",".select() - select an option in a <select> element","","Sun May 11 19:45:27 ICT 2025","passed","Sun May 11 19:45:28 ICT 2025","","Actions","",""
"","110","Get underlying OS name","Cypress APIs","Sun May 11 19:45:56 ICT 2025","passed","Sun May 11 19:45:56 ICT 2025","","Cypress.platform","",""
"","252",".each() - iterate over an array of elements","","Sun May 11 19:45:45 ICT 2025","passed","Sun May 11 19:45:45 ICT 2025","","Connectors","",""
"","104",".siblings() - get all sibling DOM elements","","Sun May 11 19:46:44 ICT 2025","passed","Sun May 11 19:46:45 ICT 2025","","Traversal","",""
"","111","cy.fixture() or require - load a fixture","","Sun May 11 19:46:00 ICT 2025","passed","Sun May 11 19:46:00 ICT 2025","","Files","",""
"","278","cy.exec() - execute a system command","","Sun May 11 19:46:07 ICT 2025","passed","Sun May 11 19:46:07 ICT 2025","","Misc","",""
"","338",".as() - alias a DOM element for later use","","Sun May 11 19:45:34 ICT 2025","passed","Sun May 11 19:45:34 ICT 2025","","Aliasing","",""
"","112",".not() - remove DOM elements from set of DOM elements","","Sun May 11 19:46:43 ICT 2025","passed","Sun May 11 19:46:43 ICT 2025","","Traversal","",""
"","235",".children() - get child DOM elements","","Sun May 11 19:46:41 ICT 2025","passed","Sun May 11 19:46:41 ICT 2025","","Traversal","",""
"","6334","✅ Login สำเร็จ","","Sun May 11 19:44:55 ICT 2025","passed","Sun May 11 19:45:01 ICT 2025","","🧪 ทดสอบระบบ Login","",""
"","140",".scrollIntoView() - scroll an element into view","","Sun May 11 19:45:28 ICT 2025","passed","Sun May 11 19:45:28 ICT 2025","","Actions","",""
"","4060",".type() - type into a DOM element","","Sun May 11 19:45:17 ICT 2025","passed","Sun May 11 19:45:21 ICT 2025","","Actions","",""
"","119",".debug() - enable or disable debugging","Cypress APIs","Sun May 11 19:45:55 ICT 2025","passed","Sun May 11 19:45:55 ICT 2025","","Cypress.Cookies","",""
"","130","cy.contains() - query DOM elements with matching content","","Sun May 11 19:46:25 ICT 2025","passed","Sun May 11 19:46:25 ICT 2025","","Querying","",""
"","5869","ควรแสดงข้อความ error เมื่อ input ว่าง","","Sun May 11 19:44:44 ICT 2025","passed","Sun May 11 19:44:50 ICT 2025","","📝 แบบฟอร์มว่าง","",""
"","1474",".as() - alias a route for later use","","Sun May 11 19:45:34 ICT 2025","passed","Sun May 11 19:45:36 ICT 2025","","Aliasing","",""
"","258","can filter for uncompleted tasks","example to-do app","Sun May 11 19:45:13 ICT 2025","passed","Sun May 11 19:45:13 ICT 2025","","with a checked task","",""
"","519",".clear() - clears an input or textarea element","","Sun May 11 19:45:22 ICT 2025","passed","Sun May 11 19:45:22 ICT 2025","","Actions","",""
"","116",".prevUntil() - get all previous sibling DOM elements until el","","Sun May 11 19:46:44 ICT 2025","passed","Sun May 11 19:46:44 ICT 2025","","Traversal","",""
"","1961",".click() - click on a DOM element","","Sun May 11 19:45:23 ICT 2025","passed","Sun May 11 19:45:25 ICT 2025","","Actions","",""
"","539","Cypress.Blob - blob utilities and base64 string conversion","","Sun May 11 19:46:48 ICT 2025","passed","Sun May 11 19:46:49 ICT 2025","","Utilities","",""
"","199","cy.clearCookies() - clear browser cookies for the current domain","","Sun May 11 19:45:51 ICT 2025","passed","Sun May 11 19:45:51 ICT 2025","","Cookies","",""
"","195","Cypress.$ - call a jQuery method","","Sun May 11 19:46:48 ICT 2025","passed","Sun May 11 19:46:48 ICT 2025","","Utilities","",""
"","97","cy.wrap() - wrap an object","","Sun May 11 19:46:08 ICT 2025","passed","Sun May 11 19:46:08 ICT 2025","","Misc","",""
"","107",".eq() - get a DOM element at a specific index","","Sun May 11 19:46:41 ICT 2025","passed","Sun May 11 19:46:41 ICT 2025","","Traversal","",""
"","517","cy.request() - verify response using BDD syntax","","Sun May 11 19:46:17 ICT 2025","passed","Sun May 11 19:46:18 ICT 2025","","Network Requests","",""
"","99","cy.document() - get the document object","","Sun May 11 19:47:08 ICT 2025","passed","Sun May 11 19:47:08 ICT 2025","","Window","",""
"","308","cy.fixture() - load a fixture","","Sun May 11 19:45:59 ICT 2025","passed","Sun May 11 19:46:00 ICT 2025","","Files","",""
"","116",".find() - get descendant DOM elements of the selector","","Sun May 11 19:46:42 ICT 2025","passed","Sun May 11 19:46:42 ICT 2025","","Traversal","",""
"","1136","cy.go() - go back or forward in the browser's history","","Sun May 11 19:46:11 ICT 2025","passed","Sun May 11 19:46:13 ICT 2025","","Navigation","",""
"","1209","cy.intercept() - route responses to matching requests","","Sun May 11 19:46:20 ICT 2025","passed","Sun May 11 19:46:22 ICT 2025","","Network Requests","",""
"","114",".prevAll() - get all previous sibling DOM elements","","Sun May 11 19:46:44 ICT 2025","passed","Sun May 11 19:46:44 ICT 2025","","Traversal","",""
"","723","cy.request() - save response in the shared test context","","Sun May 11 19:46:20 ICT 2025","passed","Sun May 11 19:46:20 ICT 2025","","Network Requests","",""
"","259","cy.tick() - move time in the browser","","Sun May 11 19:46:33 ICT 2025","passed","Sun May 11 19:46:33 ICT 2025","","Spies, Stubs, and Clock","",""
"","97","Cypress.minimatch - test out glob patterns against strings","","Sun May 11 19:46:49 ICT 2025","passed","Sun May 11 19:46:49 ICT 2025","","Utilities","",""
"","2802","cy.viewport() - set the viewport size and dimension","","Sun May 11 19:46:53 ICT 2025","passed","Sun May 11 19:46:56 ICT 2025","","Viewport","",""
"","196","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","","Sun May 11 19:46:37 ICT 2025","passed","Sun May 11 19:46:37 ICT 2025","","Local Storage / Session Storage","",""
"","197",".rightclick() - right click on a DOM element","","Sun May 11 19:45:25 ICT 2025","passed","Sun May 11 19:45:25 ICT 2025","","Actions","",""
"","117",".closest() - get closest ancestor DOM element","","Sun May 11 19:46:41 ICT 2025","passed","Sun May 11 19:46:41 ICT 2025","","Traversal","",""
"","843",".check() - check a checkbox or radio element","","Sun May 11 19:45:25 ICT 2025","passed","Sun May 11 19:45:26 ICT 2025","","Actions","",""
"","129",".filter() - get DOM elements that match the selector","","Sun May 11 19:46:41 ICT 2025","passed","Sun May 11 19:46:42 ICT 2025","","Traversal","",""
"","179","cy.getAllLocalStorage() - get all data in localStorage for all origins","","Sun May 11 19:46:37 ICT 2025","passed","Sun May 11 19:46:37 ICT 2025","","Local Storage / Session Storage","",""
"","108","matches unknown text between two elements","Assertions","Sun May 11 19:45:40 ICT 2025","passed","Sun May 11 19:45:40 ICT 2025","","Explicit Assertions","",""
"","190","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","","Sun May 11 19:46:37 ICT 2025","passed","Sun May 11 19:46:37 ICT 2025","","Local Storage / Session Storage","",""
"","123",".and() - chain multiple assertions together","Assertions","Sun May 11 19:45:39 ICT 2025","passed","Sun May 11 19:45:39 ICT 2025","","Implicit Assertions","",""
"","107","can throw any error","Assertions","Sun May 11 19:45:40 ICT 2025","passed","Sun May 11 19:45:40 ICT 2025","","Explicit Assertions","",""
"","237","cy.get() - query DOM elements","","Sun May 11 19:46:25 ICT 2025","passed","Sun May 11 19:46:25 ICT 2025","","Querying","",""
"","257","can delete all completed tasks","example to-do app","Sun May 11 19:45:13 ICT 2025","passed","Sun May 11 19:45:14 ICT 2025","","with a checked task","",""
"","404",".blur() - blur off a DOM element","","Sun May 11 19:45:21 ICT 2025","passed","Sun May 11 19:45:21 ICT 2025","","Actions","",""
"","133",".its() - get properties on the current subject","","Sun May 11 19:45:45 ICT 2025","passed","Sun May 11 19:45:45 ICT 2025","","Connectors","",""
"","116",".isHidden() - determine if a DOM element is hidden","Cypress APIs","Sun May 11 19:45:55 ICT 2025","passed","Sun May 11 19:45:55 ICT 2025","","Cypress.dom","",""
"","117",".spread() - spread an array as individual args to callback function","","Sun May 11 19:45:46 ICT 2025","passed","Sun May 11 19:45:46 ICT 2025","","Connectors","",""
"","122","cy.clearAllCookies() - clear all browser cookies","","Sun May 11 19:45:51 ICT 2025","passed","Sun May 11 19:45:52 ICT 2025","","Cookies","",""
"","112",".nextUntil() - get next sibling DOM elements until next el","","Sun May 11 19:46:43 ICT 2025","passed","Sun May 11 19:46:43 ICT 2025","","Traversal","",""
"","442","cy.writeFile() - write to a file","","Sun May 11 19:46:00 ICT 2025","passed","Sun May 11 19:46:01 ICT 2025","","Files","",""
"","1483","displays two todo items by default","","Sun May 11 19:45:10 ICT 2025","passed","Sun May 11 19:45:12 ICT 2025","","example to-do app","",""
"","798",".uncheck() - uncheck a checkbox element","","Sun May 11 19:45:26 ICT 2025","passed","Sun May 11 19:45:27 ICT 2025","","Actions","",""
"","2540","cy.spy() retries until assertions pass","","Sun May 11 19:46:30 ICT 2025","passed","Sun May 11 19:46:32 ICT 2025","","Spies, Stubs, and Clock","",""
"","112","pass your own callback function to should()","Assertions","Sun May 11 19:45:39 ICT 2025","passed","Sun May 11 19:45:39 ICT 2025","","Explicit Assertions","",""
"","205","cy.spy() - wrap a method in a spy","","Sun May 11 19:46:29 ICT 2025","passed","Sun May 11 19:46:29 ICT 2025","","Spies, Stubs, and Clock","",""
"","93","cy.stub() - create a stub and/or replace a function with stub","","Sun May 11 19:46:32 ICT 2025","passed","Sun May 11 19:46:32 ICT 2025","","Spies, Stubs, and Clock","",""
"","359","cy.visit() - visit a remote url","","Sun May 11 19:46:13 ICT 2025","passed","Sun May 11 19:46:14 ICT 2025","","Navigation","",""
"","188","cy.clock() - control time in the browser","","Sun May 11 19:46:32 ICT 2025","passed","Sun May 11 19:46:33 ICT 2025","","Spies, Stubs, and Clock","",""
"","503","cy.clearLocalStorage() - clear all data in localStorage for the current origin","","Sun May 11 19:46:36 ICT 2025","passed","Sun May 11 19:46:37 ICT 2025","","Local Storage / Session Storage","",""
"","103","assert - assert shape of an object","Assertions","Sun May 11 19:45:40 ICT 2025","passed","Sun May 11 19:45:40 ICT 2025","","Explicit Assertions","",""
"","1616","retries the should callback until assertions pass","Assertions","Sun May 11 19:45:40 ICT 2025","passed","Sun May 11 19:45:42 ICT 2025","","Explicit Assertions","",""
"","108",".parentsUntil() - get parent DOM elements from DOM elements until el","","Sun May 11 19:46:44 ICT 2025","passed","Sun May 11 19:46:44 ICT 2025","","Traversal","",""
"","202","cy.clearCookie() - clear a browser cookie","","Sun May 11 19:45:51 ICT 2025","passed","Sun May 11 19:45:51 ICT 2025","","Cookies","",""
"","206","can check off an item as completed","","Sun May 11 19:45:12 ICT 2025","passed","Sun May 11 19:45:13 ICT 2025","","example to-do app","",""
"","4493","cy.wait() - wait for a specific amount of time","","Sun May 11 19:46:59 ICT 2025","passed","Sun May 11 19:47:03 ICT 2025","","Waiting","",""
"","93","Get CPU architecture name of underlying OS","Cypress APIs","Sun May 11 19:45:55 ICT 2025","passed","Sun May 11 19:45:55 ICT 2025","","Cypress.arch","",""
"","109","cy.location() - get window.location","","Sun May 11 19:46:04 ICT 2025","passed","Sun May 11 19:46:04 ICT 2025","","Location","",""
"","207",".dblclick() - double click on a DOM element","","Sun May 11 19:45:25 ICT 2025","passed","Sun May 11 19:45:25 ICT 2025","","Actions","",""
"","102","Get current spec information","Cypress APIs","Sun May 11 19:45:56 ICT 2025","passed","Sun May 11 19:45:57 ICT 2025","","Cypress.spec","",""
"","115","expect - make an assertion about a specified subject","Assertions","Sun May 11 19:45:39 ICT 2025","passed","Sun May 11 19:45:39 ICT 2025","","Explicit Assertions","",""
"","120",".invoke() - invoke a function on the current subject","","Sun May 11 19:45:45 ICT 2025","passed","Sun May 11 19:45:46 ICT 2025","","Connectors","",""
"","21","matches call arguments using Sinon matchers","","Sun May 11 19:46:33 ICT 2025","passed","Sun May 11 19:46:33 ICT 2025","","Spies, Stubs, and Clock","",""
"","117","cy.setCookie() - set a browser cookie","","Sun May 11 19:45:51 ICT 2025","passed","Sun May 11 19:45:51 ICT 2025","","Cookies","",""
"","2172","cy.scrollTo() - scroll the window or element to a position","","Sun May 11 19:45:29 ICT 2025","passed","Sun May 11 19:45:31 ICT 2025","","Actions","",""
"","112",".parents() - get parent DOM elements from DOM elements","","Sun May 11 19:46:43 ICT 2025","passed","Sun May 11 19:46:43 ICT 2025","","Traversal","",""
"","643","best practices - selecting elements","","Sun May 11 19:46:26 ICT 2025","passed","Sun May 11 19:46:26 ICT 2025","","Querying","",""
"","463","cy.request() with query parameters","","Sun May 11 19:46:18 ICT 2025","passed","Sun May 11 19:46:19 ICT 2025","","Network Requests","",""
"","109",".prev() - get previous sibling DOM element","","Sun May 11 19:46:44 ICT 2025","passed","Sun May 11 19:46:44 ICT 2025","","Traversal","",""
"","317","เช็คสถานะ 200 และข้อมูลไม่ว่าง","","Sun May 11 20:18:32 ICT 2025","passed","Sun May 11 20:18:32 ICT 2025","","🌐 ทดสอบ API - GET Users","",""
"","104","yields the original subject without return","Connectors","Sun May 11 19:45:46 ICT 2025","passed","Sun May 11 19:45:46 ICT 2025","",".then()","",""
"","136",".focus() - focus on a DOM element","","Sun May 11 19:45:21 ICT 2025","passed","Sun May 11 19:45:21 ICT 2025","","Actions","",""
"","147","cy.getAllCookies() - get all browser cookies","","Sun May 11 19:45:50 ICT 2025","passed","Sun May 11 19:45:51 ICT 2025","","Cookies","",""
"","224","cy.getCookies() - get browser cookies for the current domain","","Sun May 11 19:45:50 ICT 2025","passed","Sun May 11 19:45:50 ICT 2025","","Cookies","",""
"","4711","❌ Login ล้มเหลว","","Sun May 11 19:45:03 ICT 2025","passed","Sun May 11 19:45:07 ICT 2025","","🧪 ทดสอบระบบ Login","",""
"","107","yields the value yielded by the last Cypress command inside","Connectors","Sun May 11 19:45:46 ICT 2025","passed","Sun May 11 19:45:47 ICT 2025","",".then()","",""
"","121","invokes a callback function with the current subject","Connectors","Sun May 11 19:45:46 ICT 2025","passed","Sun May 11 19:45:46 ICT 2025","",".then()","",""
"","121","finds element by class name regex","Assertions","Sun May 11 19:45:40 ICT 2025","passed","Sun May 11 19:45:40 ICT 2025","","Explicit Assertions","",""
